"uuid","skill_name","level"
"3949dfb9-9a90-4d01-8d4c-e6784084eec0","AWS RDS","ADVANCED"
"3949dfb9-9a90-4d01-8d4c-e6784084eec0","AWS Lambda","ADVANCED"
"3949dfb9-9a90-4d01-8d4c-e6784084eec0","English","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","AWS Cloudformation","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Presentation Skills","ADVANCED"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","TestNG","ADVANCED"
"a352585e-10ed-47e0-9378-f56e8a2fb21d","AWS IAM","INTERMEDIATE"
"0797fe1e-9f45-44f3-9f62-a939ba8ade7d","Wireframing","INTERMEDIATE"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Selenium","ADVANCED"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Spring","INTERMEDIATE"
"4a9859b0-a3af-4559-af26-1ab942e92516","Docker","INTERMEDIATE"
"4a9859b0-a3af-4559-af26-1ab942e92516","GCP","NOVICE"
"4a9859b0-a3af-4559-af26-1ab942e92516","Flask","ADVANCED"
"70fdc0cc-8ac3-4471-a07e-358ade292063","Alexa skills","NOVICE"
"dd955aae-8be5-46ab-a4bc-494ea15e224d","DataFlow","INTERMEDIATE"
"dd955aae-8be5-46ab-a4bc-494ea15e224d","Kubernetes","INTERMEDIATE"
"dd955aae-8be5-46ab-a4bc-494ea15e224d","Map Reduce","INTERMEDIATE"
"1fbcefd9-78e4-477a-a4c3-7ee2aaa80124","GCP","ADVANCED"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Jenkins","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","JavaScript","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Kubernetes","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","ORACLE DB","INTERMEDIATE"
"f7020fea-b1af-4b14-affe-1014736f34f7","Backend","ADVANCED"
"294f3b82-c0af-4284-9a2a-d3413462241b","Jest","ADVANCED"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Firebase","NOVICE"
"ac4c28f1-77ae-45da-aa6f-1f8c318a0ada","C#","ADVANCED"
"ac4c28f1-77ae-45da-aa6f-1f8c318a0ada","Linux","ADVANCED"
"81004abb-0743-4d65-80da-3177422b6a04","Digital Marketing","INTERMEDIATE"
"4a9859b0-a3af-4559-af26-1ab942e92516","Scrum","INTERMEDIATE"
"70fdc0cc-8ac3-4471-a07e-358ade292063","Sketch","ADVANCED"
"dd955aae-8be5-46ab-a4bc-494ea15e224d","Datastudio","INTERMEDIATE"
"70fdc0cc-8ac3-4471-a07e-358ade292063","Competitive Analysis","ADVANCED"
"70fdc0cc-8ac3-4471-a07e-358ade292063","Experience Canvas","NOVICE"
"70fdc0cc-8ac3-4471-a07e-358ade292063","InVision","EXPERT"
"70fdc0cc-8ac3-4471-a07e-358ade292063","Personas","ADVANCED"
"70fdc0cc-8ac3-4471-a07e-358ade292063","Usability Testing","ADVANCED"
"70fdc0cc-8ac3-4471-a07e-358ade292063","Zeplin","ADVANCED"
"dd955aae-8be5-46ab-a4bc-494ea15e224d","JSON","INTERMEDIATE"
"dd955aae-8be5-46ab-a4bc-494ea15e224d","Quantitative Research","INTERMEDIATE"
